GEO_ID,B01003_001E,B01003_001M,B11016_001E,B11016_001M,B19025_001E,B19025_001M,NAME,GEO_ID,state,county,tract
12095014813,4083,327,1534,125,136341400,21900261,"Census Tract 148.13, Orange County, Florida",1400000US12095014813,12,095,014813
12095015602,2393,232,812,62,114656200,14461627,"Census Tract 156.02, Orange County, Florida",1400000US12095015602,12,095,015602
12095015802,2540,229,992,76,230526500,32671399,"Census Tract 158.02, Orange County, Florida",1400000US12095015802,12,095,015802
12095016302,4411,453,1719,96,68502600,8197708,"Census Tract 163.02, Orange County, Florida",1400000US12095016302,12,095,016302
12095016402,2387,304,959,80,47453000,6376188,"Census Tract 164.02, Orange County, Florida",1400000US12095016402,12,095,016402
12095016412,4961,425,1657,102,124730500,25149664,"Census Tract 164.12, Orange County, Florida",1400000US12095016412,12,095,016412
12095017105,18364,1300,5839,381,798041500,138646635,"Census Tract 171.05, Orange County, Florida",1400000US12095017105,12,095,017105
12095017400,10669,1066,3764,306,303840300,41742008,"Census Tract 174, Orange County, Florida",1400000US12095017400,12,095,017400
12095017807,3943,548,1243,92,69278700,9537961,"Census Tract 178.07, Orange County, Florida",1400000US12095017807,12,095,017807
12095016710,4791,325,1494,37,108885400,8357146,"Census Tract 167.10, Orange County, Florida",1400000US12095016710,12,095,016710
12095016717,3191,229,1010,57,82462100,7091393,"Census Tract 167.17, Orange County, Florida",1400000US12095016717,12,095,016717
12095016802,10168,814,3570,250,387502800,47968095,"Census Tract 168.02, Orange County, Florida",1400000US12095016802,12,095,016802
12095016803,2701,210,849,63,59711400,8064715,"Census Tract 168.03, Orange County, Florida",1400000US12095016803,12,095,016803
12095017200,4208,331,1633,123,135451100,18995065,"Census Tract 172, Orange County, Florida",1400000US12095017200,12,095,017200
12095017503,6145,500,2222,174,143046500,25356296,"Census Tract 175.03, Orange County, Florida",1400000US12095017503,12,095,017503
12095010802,2855,262,1419,123,108983800,15762411,"Census Tract 108.02, Orange County, Florida",1400000US12095010802,12,095,010802
12095011000,3125,280,1636,107,112573600,16962011,"Census Tract 110, Orange County, Florida",1400000US12095011000,12,095,011000
12095012201,5573,659,1697,106,77970200,10133369,"Census Tract 122.01, Orange County, Florida",1400000US12095012201,12,095,012201
12095012800,3735,308,1533,91,233934800,38378833,"Census Tract 128, Orange County, Florida",1400000US12095012800,12,095,012800
12095013803,2650,356,1026,80,77932300,9902476,"Census Tract 138.03, Orange County, Florida",1400000US12095013803,12,095,013803
12095014807,6368,533,2303,182,214701800,35924356,"Census Tract 148.07, Orange County, Florida",1400000US12095014807,12,095,014807
12095014906,6434,546,2198,116,165693300,15087564,"Census Tract 149.06, Orange County, Florida",1400000US12095014906,12,095,014906
12095015202,7002,924,2294,159,118238500,34187283,"Census Tract 152.02, Orange County, Florida",1400000US12095015202,12,095,015202
12095015402,2146,249,1015,96,65473000,11776478,"Census Tract 154.02, Orange County, Florida",1400000US12095015402,12,095,015402
12095015501,4726,512,2180,233,198636500,30332283,"Census Tract 155.01, Orange County, Florida",1400000US12095015501,12,095,015501
12095017016,9987,729,3645,257,271912100,27904308,"Census Tract 170.16, Orange County, Florida",1400000US12095017016,12,095,017016
12095017014,12734,1386,4390,403,293963800,39681574,"Census Tract 170.14, Orange County, Florida",1400000US12095017014,12,095,017014
12095017015,7769,746,2691,176,225087000,23642220,"Census Tract 170.15, Orange County, Florida",1400000US12095017015,12,095,017015
12095017017,5887,780,2485,275,148900000,30893292,"Census Tract 170.17, Orange County, Florida",1400000US12095017017,12,095,017017
12095013511,5225,677,1950,97,70972000,9366547,"Census Tract 135.11, Orange County, Florida",1400000US12095013511,12,095,013511
12095013606,3526,371,1205,93,58342700,7609121,"Census Tract 136.06, Orange County, Florida",1400000US12095013606,12,095,013606
12095013702,5721,534,2257,123,132577900,16813900,"Census Tract 137.02, Orange County, Florida",1400000US12095013702,12,095,013702
12095014503,4979,468,1474,151,51850100,9880911,"Census Tract 145.03, Orange County, Florida",1400000US12095014503,12,095,014503
12095016907,7272,1088,2360,202,93354900,15211044,"Census Tract 169.07, Orange County, Florida",1400000US12095016907,12,095,016907
12095018000,2842,341,1049,90,56976500,10576993,"Census Tract 180, Orange County, Florida",1400000US12095018000,12,095,018000
12095018100,2807,281,1169,93,114615900,44630513,"Census Tract 181, Orange County, Florida",1400000US12095018100,12,095,018100
12095018300,2366,373,932,114,48671600,12082293,"Census Tract 183, Orange County, Florida",1400000US12095018300,12,095,018300
12095018400,2637,264,1052,87,66800500,10859544,"Census Tract 184, Orange County, Florida",1400000US12095018400,12,095,018400
12095018500,4082,477,1435,103,66739900,14913299,"Census Tract 185, Orange County, Florida",1400000US12095018500,12,095,018500
12095013512,5783,1008,2100,196,72329700,10408224,"Census Tract 135.12, Orange County, Florida",1400000US12095013512,12,095,013512
12095014504,6124,697,2275,199,131852700,19739722,"Census Tract 145.04, Orange County, Florida",1400000US12095014504,12,095,014504
12095014608,4531,418,1726,73,73881700,8265924,"Census Tract 146.08, Orange County, Florida",1400000US12095014608,12,095,014608
12095014609,6119,497,2309,112,113871700,12609738,"Census Tract 146.09, Orange County, Florida",1400000US12095014609,12,095,014609
12095016731,6722,554,1264,85,107821400,15302817,"Census Tract 167.31, Orange County, Florida",1400000US12095016731,12,095,016731
12095016732,16586,1394,5498,337,466207600,51617090,"Census Tract 167.32, Orange County, Florida",1400000US12095016732,12,095,016732
12095016806,15980,1356,4954,328,370696100,74216903,"Census Tract 168.06, Orange County, Florida",1400000US12095016806,12,095,016806
12095016807,21171,2390,5638,447,386361100,44221256,"Census Tract 168.07, Orange County, Florida",1400000US12095016807,12,095,016807
12095016906,3949,478,1699,131,46030500,6752194,"Census Tract 169.06, Orange County, Florida",1400000US12095016906,12,095,016906
12095013405,2171,231,849,59,34835600,6242365,"Census Tract 134.05, Orange County, Florida",1400000US12095013405,12,095,013405
12095013607,5074,353,2039,70,143304600,18922803,"Census Tract 136.07, Orange County, Florida",1400000US12095013607,12,095,013607
12095016733,6165,694,2170,178,154482000,30075194,"Census Tract 167.33, Orange County, Florida",1400000US12095016733,12,095,016733
12095016734,12928,1407,4041,343,313525000,41469575,"Census Tract 167.34, Orange County, Florida",1400000US12095016734,12,095,016734
12095990000,0,13,0,13,0,0,"Census Tract 9900, Orange County, Florida",1400000US12095990000,12,095,990000
